,b,class
1288,1,2
1289,1,2
1290,1,2
1291,1,2
1292,1,2
1293,1,2
1294,1,2
1295,1,2
1296,1,2
1297,1,2
1298,1,2
1299,1,2
1300,1,2
1301,1,2
1302,1,2
1303,1,2
1304,1,2
1305,1,2
1306,1,2
1307,1,2
1308,1,2
1309,1,2
1310,1,2
1311,1,2
1312,1,2
1313,1,2
1314,1,2
1315,1,2
1316,1,2
1317,1,2
1318,1,2
1319,1,2
1320,1,2
1321,1,2
1322,1,2
1323,1,2
1324,1,2
1325,1,2
1326,1,2
1327,1,2
1328,1,2
1329,1,2
1330,1,2
1332,1,2
1333,1,2
1334,1,2
1335,1,2
1336,1,2
1337,1,2
1338,1,2
1339,1,2
1340,1,2
1341,1,2
1342,1,2
1343,1,2
1344,1,2
1346,1,2
1347,1,2
1348,1,2
1349,1,2
1350,1,2
1351,1,2
1352,1,2
1354,1,2
1355,1,2
1356,1,2
1357,1,2
1359,1,2
1360,1,2
1361,1,2
1362,1,2
1363,1,2
1364,1,2
1365,1,2
1366,1,2
1367,1,2
1369,1,2
1370,1,2
1371,1,2
1372,1,2
1373,1,2
1374,1,2
1375,1,2
1376,1,2
1379,1,2
1380,1,2
1381,1,2
1383,1,2
1384,1,2
1387,1,2
1388,1,2
1389,1,2
1391,1,2
1392,1,2
1393,1,2
1394,1,2
1396,1,2
1398,1,2
1399,1,2
1400,1,2
1401,1,2
1402,1,2
1404,1,2
1405,1,2
1410,1,2
1411,1,2
1412,1,2
1413,1,2
1414,1,2
1415,1,2
1416,1,2
1419,1,2
1421,1,2
1422,1,2
1423,1,2
1424,1,2
1425,1,2
1428,1,2
1429,1,2
1430,1,2
1432,1,2
1433,1,2
1434,1,2
1435,1,2
1436,1,2
1438,1,2
1439,1,2
1440,1,2
1444,1,2
1445,1,2
1447,1,2
1450,1,2
1454,1,2
1458,1,2
1463,1,2
1464,1,2
1470,1,2
1472,1,2
1479,1,2
1480,1,2
1484,0,2
1489,0,2
1491,0,2
1492,1,2
1496,1,2
1497,0,2
1504,1,2
1517,0,2
